https://i.scdn.co/image/ab67616d0000b273110090c137e40673e1466462,Unknown Mortal Orchestra,Nerve Damage!,Unknown Mortal Orchestra,4CiOxztA3id0eztX760roU,08:14,0.462,0.51,0.398,0.828
https://i.scdn.co/image/ab67616d0000b2731c4540d0ecafaa45305aa5a0,A Seat at the Table,Junie,Solange,5lMugQF80AuN6uukFJLT58,08:26,0.652,0.736,0.826,0.724
https://i.scdn.co/image/ab67616d0000b27337e744667c098ff2669b4d4f,direct line to My Creator,September,duendita,5dJqLtc2yy7zxBDkTkf6Ux,08:02,0.0531,0.155,0.236,0.196
https://i.scdn.co/image/ab67616d0000b273110090c137e40673e1466462,Unknown Mortal Orchestra,Nerve Damage!,Unknown Mortal Orchestra,4CiOxztA3id0eztX760roU,08:14,0.462,0.51,0.398,0.828
https://i.scdn.co/image/ab67616d0000b2731c4540d0ecafaa45305aa5a0,A Seat at the Table,Junie,Solange,5lMugQF80AuN6uukFJLT58,08:26,0.652,0.736,0.826,0.724
https://i.scdn.co/image/ab67616d0000b273e8ac8f5ea7877d823e5df3ea,In Colour,SeeSaw,Jamie xx,6N9NpkIKu7SLAjZd0IewoV,10:51,0.191,0.462,0.624,0.679
https://i.scdn.co/image/ab67616d0000b273e8ac8f5ea7877d823e5df3ea,In Colour,SeeSaw,Jamie xx,6N9NpkIKu7SLAjZd0IewoV,10:51,0.191,0.462,0.624,0.679
https://i.scdn.co/image/ab67616d0000b273d2631fe4c90aae7dec8fb0df,Women In Music Pt. III,Now I'm In It - Bonus Track,HAIM,0TCRoG3C8ItxMC4VYtN1La,10:54,0.206,0.511,0.717,0.707
https://i.scdn.co/image/ab67616d0000b2734f1235383b41920e64b00a78,Art Angels,SCREAM,Grimes,0i7AGJG9DX0vI1w798IVKZ,10:56,0.657,0.722,0.69,0.916
https://i.scdn.co/image/ab67616d0000b273b80f8eb7cd3776e665e77477,Only Diamonds Cut Diamonds,When I Strike...,Vegyn,4eZfefRLmcOffNsO4PlGUu,10:59,0.0336,0.38,0.594,0.646
https://i.scdn.co/image/ab67616d0000b273e8ac8f5ea7877d823e5df3ea,In Colour,SeeSaw,Jamie xx,6N9NpkIKu7SLAjZd0IewoV,10:51,0.191,0.462,0.624,0.679
https://i.scdn.co/image/ab67616d0000b273e8ac8f5ea7877d823e5df3ea,In Colour,SeeSaw,Jamie xx,6N9NpkIKu7SLAjZd0IewoV,10:51,0.191,0.462,0.624,0.679
https://i.scdn.co/image/ab67616d0000b273d2631fe4c90aae7dec8fb0df,Women In Music Pt. III,Now I'm In It - Bonus Track,HAIM,0TCRoG3C8ItxMC4VYtN1La,10:54,0.206,0.511,0.717,0.707
https://i.scdn.co/image/ab67616d0000b2734f1235383b41920e64b00a78,Art Angels,SCREAM,Grimes,0i7AGJG9DX0vI1w798IVKZ,10:56,0.657,0.722,0.69,0.916
https://i.scdn.co/image/ab67616d0000b273b80f8eb7cd3776e665e77477,Only Diamonds Cut Diamonds,When I Strike...,Vegyn,4eZfefRLmcOffNsO4PlGUu,10:59,0.0336,0.38,0.594,0.646
https://i.scdn.co/image/ab67616d0000b273e8ac8f5ea7877d823e5df3ea,In Colour,Girl,Jamie xx,0s2ziTuwyOfnpNbpctNwqO,11:03,0.467,0.451,0.359,0.603
https://i.scdn.co/image/ab67616d0000b273210e19d835bb0af6620256cf,Sixteen Oceans,Love Salad,Four Tet,3r1T4pyyw8SutoozrWZSzS,11:11,0.0742,0.374,0.609,0.502
https://i.scdn.co/image/ab67616d0000b273d2631fe4c90aae7dec8fb0df,Women In Music Pt. III,Summer Girl - Bonus Track,HAIM,4iVAyRRWdgjwBooBaSkSRc,11:14,0.611,0.559,0.514,0.545
https://i.scdn.co/image/ab67616d0000b273c02d78ecd28d80920aa11f1c,The OOZ,Slush Puppy,King Krule,0pSL27waKpGcywLYWb7UDA,11:20,0.0503,0.256,0.367,0.446
https://i.scdn.co/image/ab67616d0000b273240c453ba41b82735fa1c233,Manhattan Special,Blue Moon,Onyx Collective,6OdgnDlPaGOqJCUWtfCzVi,11:24,0.377,0.311,0.365,0.0698
https://i.scdn.co/image/ab67616d0000b273240c453ba41b82735fa1c233,Manhattan Special,Getting to Know You,Onyx Collective,1ucirelIaRsWVh0UrdXSQ2,11:27,0.247,0.392,0.635,0.196
https://i.scdn.co/image/ab67616d0000b273240c453ba41b82735fa1c233,Manhattan Special,Glad to Be Unhappy,Onyx Collective,3hURLhMPGrLZJj9YgblA0H,11:31,0.0361,0.147,0.297,0.0687
https://i.scdn.co/image/ab67616d0000b2731c4540d0ecafaa45305aa5a0,A Seat at the Table,Cranes in the Sky,Solange,48EjSdYh8wz2gBxxqzrsLe,11:35,0.465,0.597,0.719,0.615
https://i.scdn.co/image/ab67616d0000b27337af2ce4e0abffff0045034c,Both,Calendar Girl,Okay Kaya,3n6Ay7J2Q6hEAT1zOd1QXS,11:38,0.106,0.373,0.712,0.227
https://i.scdn.co/image/ab67616d0000b27337af2ce4e0abffff0045034c,Both,IUD,Okay Kaya,5uqTj2DiG7BAKkvLck1sbW,11:40,0.203,0.409,0.681,0.276
